,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBCNEWS,Sat Jul 14 17:16:59 +0000 2018,"RT @BBCWorld: Mon dieu! 🤦‍♀️

#BastilleDay went off with a bang - for these police motorcyclists

https://t.co/jh88YrDQA4 #14juillet https:…",0.0,0.0,1.0,0.0,1
1,BBCNEWS,Sat Jul 14 17:06:23 +0000 2018,Autistic boy's mum praises 'lovely' school prom classmates https://t.co/KkrBN5beHd,0.5267,0.298,0.702,0.0,2
2,BBCNEWS,Sat Jul 14 16:48:37 +0000 2018,Is Russia the real winner of World Cup 2018? https://t.co/Gzn3gkKL1r,0.5859,0.297,0.703,0.0,3
3,BBCNEWS,Sat Jul 14 16:33:56 +0000 2018,Wimbledon 2018: Angeligue Kerber beats Serena Williams to win title https://t.co/AiqRmK0qjJ,0.5859,0.275,0.725,0.0,4
4,BBCNEWS,Sat Jul 14 16:22:54 +0000 2018,"RT @5liveSport: History for Angelique Kerber! 👏

The German beats Serena Williams 6-3, 6-3 to win her first ever #Wimbledon singles title!…",0.658,0.166,0.834,0.0,5
5,BBCNEWS,Sat Jul 14 16:22:11 +0000 2018,Reality Check: is London's murder rate still higher than New York's? https://t.co/EDqS4bkt1m,-0.6908,0.0,0.701,0.299,6
6,BBCNEWS,Sat Jul 14 16:17:28 +0000 2018,British teenager dies in Magaluf balcony fall https://t.co/YeZ1wD1jWr,0.0,0.0,1.0,0.0,7
7,BBCNEWS,Sat Jul 14 16:04:21 +0000 2018,Dog poo in Clevedon's Marine Lake causes ear infections https://t.co/UlMulVTx3y,0.0,0.0,1.0,0.0,8
8,BBCNEWS,Sat Jul 14 15:59:53 +0000 2018,World Cup 2018: England finish fourth after Belgium defeat https://t.co/cjulTH4qCh,-0.4588,0.0,0.75,0.25,9
9,BBCNEWS,Sat Jul 14 15:52:09 +0000 2018,"RT @BBCSport: FT Belgium 2-0 England

England leave Russia with their heads held high and their joint-best #worldcup finish since '66.

Bel…",-0.0516,0.0,0.946,0.054,10
10,BBCNEWS,Sat Jul 14 15:41:55 +0000 2018,"RT @BBCSport: GOAL

That might just settle it.

Eden Hazard races past Phil Jones and makes it Belgium 2-0 England

Live 👉 https://t.co/zMI…",0.0,0.0,1.0,0.0,11
11,BBCNEWS,Sat Jul 14 15:19:24 +0000 2018,"RT @bbctennis: A royal standing ovation.

But who will be crowned the queen of Wimbledon 2018?

#bbctennis #wimbledon https://t.co/Z5an2Giy…",0.0,0.0,1.0,0.0,12
12,BBCNEWS,Sat Jul 14 15:06:50 +0000 2018,"RT @5liveSport: Two changes for #ENG as we get back under way in Saint Petersburg 

Lingard 🔄 Rose

Rashford 🔄  Sterling

They trail #BEL b…",0.0,0.0,1.0,0.0,13
13,BBCNEWS,Sat Jul 14 15:02:51 +0000 2018,100 Women: 'I was a World Cup honey shot' https://t.co/xPKeWpZkVp,0.0,0.0,1.0,0.0,14
14,BBCNEWS,Sat Jul 14 14:55:37 +0000 2018,"I subscribe, therefore I am? https://t.co/ydo4UoqmMi",0.0,0.0,1.0,0.0,15
15,BBCNEWS,Sat Jul 14 14:47:49 +0000 2018,"RT @BBCSport: HT Belgium 1-0 England

Roberto Martinez's #BEL lead through Thomas Meunier - and you have to say they deserve it.
👉 https://…",0.0,0.0,1.0,0.0,16
16,BBCNEWS,Sat Jul 14 14:32:40 +0000 2018,"RT @5liveSport: It's all over!

After over 5hrs 16mins (and an overnight break) on court, Novak Djokovic will face Kevin Anderson in Sunday…",0.0,0.0,1.0,0.0,17
17,BBCNEWS,Sat Jul 14 14:30:49 +0000 2018,X Factor winner Louisa Johnson splits from Simon Cowell’s label https://t.co/T8GeHm0TSG,0.5859,0.297,0.703,0.0,18
18,BBCNEWS,Sat Jul 14 14:18:28 +0000 2018,Wimbledon 2018: Gordon Reid &amp; Alfie Hewett win wheelchair doubles title https://t.co/DAX3I3tXX4,0.5859,0.257,0.743,0.0,19
19,BBCNEWS,Sat Jul 14 14:16:34 +0000 2018,"An impressive delivery... thank goodness he didn't get dismissed
 💍🏏 https://t.co/RyX96Qm1ws",0.8316,0.524,0.476,0.0,20
20,BBCNEWS,Sat Jul 14 14:15:59 +0000 2018,World Cup Final blamed Sunday rail disruption https://t.co/AxH3MqsXNn,-0.6808,0.0,0.517,0.483,21
21,BBCNEWS,Sat Jul 14 14:05:17 +0000 2018,"RT @BBCSport: GOAL!

Three-and-a-half minutes on the clock.

Nacer Chadli crosses to Thomas Meunier, who makes no mistake.

Belgium 1-0 Eng…",-0.5983,0.0,0.795,0.205,22
22,BBCNEWS,Sat Jul 14 14:00:26 +0000 2018,"RT @BBCSport: Here we go!

A chance for England to take home the bronze medal and secure their best #worldcup finish since 1966.

Under way…",0.8999,0.375,0.625,0.0,23
23,BBCNEWS,Sat Jul 14 13:49:14 +0000 2018,Saudi Arabia woman 'arrested for hugging' singer Majid al-Mohandis https://t.co/UR1gaYgXRx,-0.0772,0.201,0.576,0.223,24
24,BBCNEWS,Sat Jul 14 13:46:51 +0000 2018,France restricts access to Mont Blanc amid safety fears https://t.co/nCHi4iIfOn,-0.3182,0.188,0.47,0.342,25
25,BBCNEWS,Sat Jul 14 13:16:03 +0000 2018,RT @Frankie_Mack: #BREAKING President Donald Trump waving a protestors who are calling him racist as he plays golf at #Turnberry @realDonal…,-0.4588,0.083,0.75,0.167,26
26,BBCNEWS,Sat Jul 14 13:12:45 +0000 2018,"Trump tees off at Turnberry as thousands protest

https://t.co/CY1qQ6OjVO #TrumpVisitUK https://t.co/cJdCUAUMkk",-0.25,0.0,0.833,0.167,27
27,BBCNEWS,Sat Jul 14 13:09:11 +0000 2018,"RT @Tara_Mckelvey: I’m traveling with Trump, and I saw only a few protestors in London. That night in Glasgow, a colleague showed me a stun…",0.0,0.0,1.0,0.0,28
28,BBCNEWS,Sat Jul 14 12:56:15 +0000 2018,RT @BBCSport: Britain's Gordon Reid and Alfie Hewett won a third successive #Wimbledon wheelchair doubles title by beating Germany's Joachi…,0.4215,0.234,0.645,0.121,29
29,BBCNEWS,Sat Jul 14 12:29:39 +0000 2018,RT @BBCRosAtkins: A close encounter. President Trump just passed me on the first hole here at Turnberry. https://t.co/UwAKYVsWa3,0.0,0.0,1.0,0.0,30
30,BBCNEWS,Sat Jul 14 11:56:54 +0000 2018,"RT @bbctennis: Meghan Markle has arrived!

The crowd shouted her name as she made her way to Centre Court. She waved 👋

💻📱 https://t.co/Xg5…",0.5411,0.127,0.873,0.0,31
31,BBCNEWS,Sat Jul 14 11:56:32 +0000 2018,"RT @BBCSport: They've done it! 🙌

Alfie Hewett and Gordon Reid have won the #Wimbledon wheelchair doubles title for the third time! 👏

LIVE…",0.6467,0.146,0.854,0.0,32
32,BBCNEWS,Sat Jul 14 11:56:23 +0000 2018,"RT @BBCScotlandNews: Liam Fox says that protesters against Donald Trump's visit to Britain were ""an embarrassment to themselves""  https://t…",-0.5859,0.0,0.78,0.22,33
33,BBCNEWS,Sat Jul 14 11:33:38 +0000 2018,"There she goes! 🌊🚢

The RRS Sir David Attenborough - the UK's polar ship known to some as Boaty McBoatface - is lau… https://t.co/DMpp054UlM",0.0,0.0,1.0,0.0,34
34,BBCNEWS,Sat Jul 14 11:29:51 +0000 2018,Dozens hurt as Ryanair flight loses cabin pressure https://t.co/4nlRXAvWBq,-0.7845,0.0,0.432,0.568,35
35,BBCNEWS,Sat Jul 14 11:10:42 +0000 2018,Jorginho: Napoli midfielder joins Chelsea on five-year deal https://t.co/oxmrrOlbdT,0.0,0.0,1.0,0.0,36
36,BBCNEWS,Sat Jul 14 11:01:13 +0000 2018,Nazanin Zaghari-Ratcliffe: Boris Johnson exit 'a setback' https://t.co/bXNsHTd4Zc,0.0,0.0,1.0,0.0,37
37,BBCNEWS,Sat Jul 14 10:58:32 +0000 2018,In pictures: France marks Bastille Day with spectacular parade https://t.co/GMxgaRjNNS,0.0,0.0,1.0,0.0,38
38,BBCNEWS,Sat Jul 14 10:53:32 +0000 2018,Gerry Adams calls on home attackers to meet him https://t.co/UVzLBDhfQy,-0.5719,0.0,0.709,0.291,39
39,BBCNEWS,Sat Jul 14 10:12:22 +0000 2018,"Camberwell stabbing: Man, 21, charged with death of girl, 17 https://t.co/6NRuFimswB",-0.6908,0.0,0.612,0.388,40
40,BBCNEWS,Sat Jul 14 10:07:22 +0000 2018,Everyone makes same joke after longest Wimbledon semi-final https://t.co/6Zw4DySaP9,0.296,0.216,0.784,0.0,41
41,BBCNEWS,Sat Jul 14 09:31:23 +0000 2018,"RT @BBCWorld: Bonne #FêteNationale!

France marks #BastilleDay with parades in Paris 🇫🇷 #14juillet https://t.co/teJKH5dXo8",0.0,0.0,1.0,0.0,42
42,BBCNEWS,Sat Jul 14 09:09:24 +0000 2018,Classic Aston Martin sells for record £10m at auction https://t.co/IbiKJ07TEh,0.0,0.0,1.0,0.0,43
43,BBCNEWS,Sat Jul 14 09:06:52 +0000 2018,British Fencing: Crowdfunding appeal for Tokyo 2020 raises just £170 in first month https://t.co/LQWbRLEn0O,0.0,0.0,1.0,0.0,44
44,BBCNEWS,Sat Jul 14 08:52:31 +0000 2018,Huge iceberg threatens Greenland village https://t.co/ikF4WvOMak,-0.0772,0.258,0.449,0.292,45
45,BBCNEWS,Sat Jul 14 08:38:08 +0000 2018,Toddler dies after van crash on parkland in Birmingham https://t.co/d1gXzwDQls,-0.4019,0.0,0.769,0.231,46
46,BBCNEWS,Sat Jul 14 08:30:55 +0000 2018,"RT @BBCScotlandNews: Donald Trump to play golf at Turnberry as protests against his visit to the UK continue
https://t.co/mecSpIthaM https:…",0.128,0.108,0.807,0.085,47
47,BBCNEWS,Sat Jul 14 08:17:32 +0000 2018,"RT @BBCSport: Former Napoli boss Maurizio Sarri has been appointed as Chelsea's new manager on a three-year contract.

👉 https://t.co/qNZbg…",0.0,0.0,1.0,0.0,48
48,BBCNEWS,Sat Jul 14 08:11:36 +0000 2018,"Nancy Sinatra Senior, Frank's first wife, dies aged 101 https://t.co/zUjd1AA9CB",0.0,0.0,1.0,0.0,49
49,BBCNEWS,Sat Jul 14 07:54:39 +0000 2018,"RT @BBCWorld: Saved by their smell 👃

How #ThaiCaveRescue divers sniffed out the Wild Boars  

https://t.co/rYEl75IIIK https://t.co/9XTbT6t…",0.4215,0.149,0.851,0.0,50
50,BBCNEWS,Sat Jul 14 07:33:16 +0000 2018,"RT @BBCMOTD: Today, England chase their best #WorldCup finish since 1966 🏴󠁧󠁢󠁥󠁮󠁧󠁿

#BELENG https://t.co/SjIYzfDTCt",0.6369,0.244,0.756,0.0,51
51,BBCNEWS,Sat Jul 14 07:11:23 +0000 2018,The eye doctor who could not see the stars https://t.co/5FSSse2hyO,0.0,0.0,1.0,0.0,52
52,BBCNEWS,Sat Jul 14 06:56:59 +0000 2018,Serena Williams: Wimbledon finalist at 36 and a mum - how has she done it? https://t.co/BDiQkO6nFC,0.0,0.0,1.0,0.0,53
53,BBCNEWS,Sat Jul 14 06:49:49 +0000 2018,Sir David Attenborough polar ship set for launch https://t.co/zvFNvJfZ4B,0.0,0.0,1.0,0.0,54
54,BBCNEWS,Sat Jul 14 06:45:06 +0000 2018,Eritrea's Isaias Afwerki in historic Ethiopia visit https://t.co/GLhBCNO7oW,0.0,0.0,1.0,0.0,55
55,BBCNEWS,Sat Jul 14 06:39:52 +0000 2018,US lawmaker caught speeding tells cop he often does so https://t.co/s4MM16SpMk,0.0,0.0,1.0,0.0,56
56,BBCNEWS,Sat Jul 14 06:37:29 +0000 2018,"Horse sense: Happiest equines love to snort, says study https://t.co/MItTJzSqeh",0.8555,0.512,0.488,0.0,57
57,BBCNEWS,Sat Jul 14 06:25:00 +0000 2018,Video games and mental health: 'Nobody's properly talking' https://t.co/p15DmyRk2y,0.0,0.0,1.0,0.0,58
58,BBCNEWS,Sat Jul 14 03:07:02 +0000 2018,Trump to play golf at Turnberry as protests continue https://t.co/SWHKeIaIlD,0.128,0.195,0.65,0.154,59
59,BBCNEWS,Sat Jul 14 02:33:01 +0000 2018,White House: Trump-Putin summit 'is on' after hacking indictment https://t.co/cTbUBxUvih,0.0,0.0,1.0,0.0,60
60,BBCNEWS,Sat Jul 14 01:27:46 +0000 2018,Wittenoom: Tourists urged to stay away from asbestos town https://t.co/94vDN6A1Ez,0.0,0.0,1.0,0.0,61
61,BBCNEWS,Sat Jul 14 01:20:30 +0000 2018,British POWs sank with the Lisbon Maru - should it be raised? https://t.co/Iwt2EZDL3a,0.0,0.0,1.0,0.0,62
62,BBCNEWS,Sat Jul 14 00:55:45 +0000 2018,The full story of Thailand’s extraordinary cave rescue https://t.co/AuBOdKBcmq,0.5106,0.292,0.708,0.0,63
63,BBCNEWS,Sat Jul 14 00:24:49 +0000 2018,'Explosive' thrown at Gerry Adams' house https://t.co/6udne6T9iP,0.0,0.0,1.0,0.0,64
64,BBCNEWS,Sat Jul 14 00:19:10 +0000 2018,Trump arrives in Scotland amid protests https://t.co/zgdfZFrrCI,-0.2263,0.0,0.759,0.241,65
65,BBCNEWS,Fri Jul 13 23:01:37 +0000 2018,Newspaper headlines: Trump's 'fake schmooze' over trade deal https://t.co/1fMHozh4ER,-0.4767,0.0,0.721,0.279,66
66,BBCNEWS,Fri Jul 13 21:48:19 +0000 2018,Scarlett Johansson quits trans role after LGBT backlash https://t.co/c5mYtHsEUa,0.0,0.0,1.0,0.0,67
67,BBCNEWS,Fri Jul 13 20:07:34 +0000 2018,Pakistan election: More than 100 die in bomb attacks on poll rallies https://t.co/uqurwHAuU5,-0.8824,0.0,0.493,0.507,68
68,BBCNEWS,Fri Jul 13 19:13:41 +0000 2018,Trump May meeting: The Wacky Races of press conferences https://t.co/huy3vkpiZU,0.0,0.0,1.0,0.0,69
69,BBCNEWS,Fri Jul 13 19:08:49 +0000 2018,Wimbledon 2018: Kevin Anderson beats John Isner in record-breaking semi-final https://t.co/g5YRslPVPd,0.0,0.0,1.0,0.0,70
70,BBCNEWS,Fri Jul 13 17:59:32 +0000 2018,RT @BBCJonSopel: Meet Dick Dastardly and Penelope Pitstop. My blog on another extraordinary day. #TrumpVisitUK  https://t.co/M80Ot4wbPA,-0.5106,0.0,0.82,0.18,71
71,BBCNEWS,Fri Jul 13 17:57:32 +0000 2018,"Grenfell Tower fire: Two jailed for £125,000 relief fraud https://t.co/FNxyk74GnX",-0.743,0.168,0.324,0.508,72
72,BBCNEWS,Fri Jul 13 17:56:57 +0000 2018,"Jeremy Corbyn says it's not Trump's business who's the British PM, after the US president's endorsement of Boris Jo… https://t.co/iqv0TQH6Ej",0.3182,0.108,0.892,0.0,73
73,BBCNEWS,Fri Jul 13 17:54:46 +0000 2018,John Surtees' 'very special' 1957 BMW sells for £4m https://t.co/J5w7ShQKbE,0.4576,0.25,0.75,0.0,74
74,BBCNEWS,Fri Jul 13 17:32:43 +0000 2018,"RT @BBCLookNorth: There's a large rally against Donald Trump taking place in Sheffield. 

Read more: https://t.co/32ZcFAKT5d https://t.co/c…",0.0,0.0,1.0,0.0,75
75,BBCNEWS,Fri Jul 13 17:22:33 +0000 2018,"RT @BBCSport: All of England's 2018 #worldcup magic moments
https://t.co/69x5UKi0Oz  #bbcworldcupmoments",0.0,0.0,1.0,0.0,76
76,BBCNEWS,Fri Jul 13 17:16:56 +0000 2018,"RT @bbctennis: FIVE hours!

Isner &amp; Anderson are leaving it all out there on Centre Court.

📺 @BBCTwo 
📻 @5liveSport
💻📱 https://t.co/ldFFv9…",0.0,0.0,1.0,0.0,77
77,BBCNEWS,Fri Jul 13 17:15:46 +0000 2018,🦁🦁🦁 https://t.co/uXbMUa477s,0.0,0.0,1.0,0.0,78
78,BBCNEWS,Fri Jul 13 17:15:17 +0000 2018,Russians indicted over US election hack https://t.co/bLMBcltdNE,0.0,0.0,1.0,0.0,79
79,BBCNEWS,Fri Jul 13 17:14:48 +0000 2018,"RT @bbctennis: Gordon Reid and Alfie Hewett are Wimbledon finalists once again!

The British pair have won their men's wheelchair semi-fina…",0.6114,0.166,0.834,0.0,80
80,BBCNEWS,Fri Jul 13 17:11:54 +0000 2018,US President Donald Trump flies away from Windsor Castle in Marine One after meeting the Queen. He's due to fly to… https://t.co/6pKWSzhp51,0.0,0.0,1.0,0.0,81
81,BBCNEWS,Fri Jul 13 17:06:35 +0000 2018,US President Donald Trump and his wife Melania leave Windsor Castle after meeting the Queen… https://t.co/OCP6ooK7yu,-0.0516,0.0,0.926,0.074,82
82,BBCNEWS,Fri Jul 13 16:55:40 +0000 2018,RT @BBCNewsGraphics: The Queen has seen plenty of world leaders come and go - Donald Trump is the 13th US President during her reign https:…,0.0,0.0,1.0,0.0,83
83,BBCNEWS,Fri Jul 13 16:51:27 +0000 2018,#PlaneBae: A cautionary tale about privacy when a story goes viral https://t.co/mYMdEYjf5J,0.0,0.0,1.0,0.0,84
84,BBCNEWS,Fri Jul 13 16:49:15 +0000 2018,Three Lions breaks chart record https://t.co/c0En0n4Wsw,0.0,0.0,1.0,0.0,85
85,BBCNEWS,Fri Jul 13 16:48:24 +0000 2018,RT @BBCBreaking: Former PM Nawaz Sharif arrested on return to Pakistan as elsewhere scores die in blasts targeting election rallies https:/…,-0.7906,0.0,0.731,0.269,86
86,BBCNEWS,Fri Jul 13 16:44:16 +0000 2018,"Thousands of anti-Trump protesters gather in Trafalgar Square, central London 

https://t.co/BlLsEwTJPE… https://t.co/Bih9qr1huU",-0.2263,0.0,0.853,0.147,87
87,BBCNEWS,Fri Jul 13 16:34:50 +0000 2018,RT @BBCScotlandNews: Protestors gather ahead of Donald Trump's arrival in Scotland https://t.co/6kjEcnrTjE https://t.co/I5MCgrqZWJ,0.0,0.0,1.0,0.0,88
88,BBCNEWS,Fri Jul 13 16:31:54 +0000 2018,"RT @BBCSport: Gareth Southgate says he is happy with raised expectations after England's #WorldCup run, because ""belief"" has also increased…",0.5719,0.163,0.837,0.0,89
89,BBCNEWS,Fri Jul 13 16:29:31 +0000 2018,Papa John's logo to change after founder uses N-word https://t.co/DtIYkiUG9C,0.0,0.0,1.0,0.0,90
90,BBCNEWS,Fri Jul 13 16:13:10 +0000 2018,"RT @BBCBreaking: 12 Russian intelligence officers indicted for hacking Democrat emails during 2016 election, US authorities announce https:…",0.4767,0.154,0.846,0.0,91
91,BBCNEWS,Fri Jul 13 16:07:23 +0000 2018,'Dump Trump': Views from the London marches https://t.co/3I4db1rBxm,-0.3818,0.0,0.729,0.271,92
92,BBCNEWS,Fri Jul 13 16:06:59 +0000 2018,"RT @BBCBreaking: Queen Elizabeth II meets US President Donald Trump at Windsor Castle 

https://t.co/3Q606Y04yc #TrumpVisitUK https://t.co/…",0.0,0.0,1.0,0.0,93
93,BBCNEWS,Fri Jul 13 15:37:23 +0000 2018,Turnberry braced for Trump arrival https://t.co/MmZR5ErfLO,0.0,0.0,1.0,0.0,94
94,BBCNEWS,Fri Jul 13 15:31:06 +0000 2018,Heatwave threatens to cause shortage of peas https://t.co/lGdl4oS2D4,-0.5574,0.0,0.566,0.434,95
95,BBCNEWS,Fri Jul 13 15:24:20 +0000 2018,"Leeds school uses spoons to help prevent forced marriage

https://t.co/UKQdtjEVtm https://t.co/5l6HYCkirz",-0.0516,0.257,0.541,0.203,96
96,BBCNEWS,Fri Jul 13 15:13:35 +0000 2018,"Isner loves a marathon match 🎾

#wimbledon coverage continues on @BBCOne https://t.co/YhpZHZqAq3",0.5719,0.27,0.73,0.0,97
97,BBCNEWS,Fri Jul 13 15:02:09 +0000 2018,"Donald Trump: US-UK relationship is 'highest level of special'

https://t.co/F78B9tSdKS #TrumpVisitUK https://t.co/D13RfEJoOj",0.4019,0.197,0.803,0.0,98
98,BBCNEWS,Fri Jul 13 14:51:49 +0000 2018,"⚡️ “""The highest level of special"" relationship”

https://t.co/X6eHunLySI",0.4019,0.278,0.722,0.0,99
99,BBCNEWS,Fri Jul 13 14:48:48 +0000 2018,"RT @bbcweather: With the weather hotting up this weekend, Sunday could see the hottest Men's Final in over 20 years at #Wimbledon #TheChamp…",0.0,0.0,1.0,0.0,100
100,CBSnews,Sat Jul 14 18:00:27 +0000 2018,"The ""Trump Baby"" balloon was transported overnight from London to Edinburgh, Scotland, where thousands are protesti… https://t.co/S7CCcyDCuw",0.0,0.0,1.0,0.0,1
101,CBSnews,Sat Jul 14 17:40:01 +0000 2018,"From Eisenhower to Trump, take a look at Queen Elizabeth's most memorable moments with U.S. presidents… https://t.co/3HKo2UexrS",0.0,0.0,1.0,0.0,2
102,CBSnews,Sat Jul 14 17:19:54 +0000 2018,Trump and Putin are expected to talk about the nuclear arms race between their nations during their summit in Helsi… https://t.co/FTREeBvZ4a,0.0,0.0,1.0,0.0,3
103,CBSnews,Sat Jul 14 17:00:01 +0000 2018,DOUBLE DUCHESS: Meghan Markle and Kate Middleton watched the Serena Williams-Angelique Kerber Wimbledon match… https://t.co/WZmMs6GNaq,0.0,0.0,1.0,0.0,4
104,CBSnews,Sat Jul 14 16:40:17 +0000 2018,WATCH: A paragliding protester breached a no-fly zone to send a message over President Trump's Scotland golf course… https://t.co/mwYYfApx6m,0.0,0.0,1.0,0.0,5
105,CBSnews,Sat Jul 14 16:22:06 +0000 2018,"RT @CBSSunday: SUNDAY FUNDAY 

@JimAxelrod meets with the @MenInBlazers – soccer aficionados Michael Davies &amp; Roger Bennett – who talk abou…",0.0,0.0,1.0,0.0,6
106,CBSnews,Sat Jul 14 16:20:24 +0000 2018,The boys rescued from a Thai cave have recorded a series of video messages from their hospital beds. Here’s what th… https://t.co/cK8wRim3wU,0.4215,0.128,0.872,0.0,7
107,CBSnews,Sat Jul 14 15:59:49 +0000 2018,Got $750 for a night in a tent? Welcome to luxurious world of glamping https://t.co/NDudAWvU7L https://t.co/iIziqDlJHj,0.4588,0.188,0.812,0.0,8
108,CBSnews,Sat Jul 14 15:39:38 +0000 2018,President Trump responds to Russian hacking indictment by blaming Obama administration https://t.co/rop8K6VSx4 https://t.co/7jn7vMcEM3,-0.4939,0.0,0.789,0.211,9
109,CBSnews,Sat Jul 14 15:00:46 +0000 2018,"Roger Stone says he's ""probably"" the unnamed person in Russian hacking indictment https://t.co/S0vFbA4MfB https://t.co/c9EupDVQxo",0.0,0.0,1.0,0.0,10
110,CBSnews,Sat Jul 14 14:40:06 +0000 2018,"""It was shocking"": Black teen speaks out after woman, dubbed ""Pool Patrol Paula,"" is charged with attacking him at… https://t.co/GPPUuA8oNZ",-0.5859,0.0,0.789,0.211,11
111,CBSnews,Sat Jul 14 14:19:49 +0000 2018,The top state election officials from throughout the U.S. are gathering this weekend in Philadelphia amid fresh rev… https://t.co/xHKzS949ZO,0.4767,0.194,0.806,0.0,12
112,CBSnews,Sat Jul 14 14:00:03 +0000 2018,Police are searching for a paraglider who flew over the resort where President Trump is staying in Scotland… https://t.co/SAEMGuGdvY,0.0,0.0,1.0,0.0,13
113,CBSnews,Sat Jul 14 13:45:39 +0000 2018,"10,000 people march through capital of Scotland to protest President Trump: https://t.co/JTdNIsCvnZ https://t.co/FrEt4WmIvR",-0.25,0.0,0.857,0.143,14
114,CBSnews,Sat Jul 14 13:39:55 +0000 2018,"Nancy Sinatra Sr., the childhood sweetheart of Frank Sinatra who became the first of his four wives and the mother… https://t.co/4IJS91GYZr",0.6486,0.177,0.823,0.0,15
115,CBSnews,Sat Jul 14 13:20:12 +0000 2018,President Trump is in Scotland ahead of his high-stakes summit with Russian President Putin: https://t.co/jG6MxtyKWu https://t.co/myzzkjhraG,0.0,0.0,1.0,0.0,16
116,CBSnews,Sat Jul 14 13:03:04 +0000 2018,"""The world has really changed"" when it comes to online dating https://t.co/3EW2UXkRIg https://t.co/Jv3hPLmhiY",0.0,0.0,1.0,0.0,17
117,CBSnews,Sat Jul 14 12:48:03 +0000 2018,"LeSean McCoy's ex-girlfriend suspected NFL star was involved in her attack, 911 call reveals https://t.co/UQLr7vVrt9 https://t.co/uf4ZYJZuhb",-0.6124,0.0,0.737,0.263,18
118,CBSnews,Sat Jul 14 12:33:04 +0000 2018,Ticks that carry Lyme disease are spreading fast https://t.co/mrgq8ZuAEJ https://t.co/1I4YBUCgiM,0.0,0.0,1.0,0.0,19
119,CBSnews,Sat Jul 14 12:30:15 +0000 2018,Police search for paraglider who flew over resort where Trump is staying https://t.co/sHlJQ0UM3R https://t.co/V61Jyunjze,0.0,0.0,1.0,0.0,20
120,CBSnews,Sat Jul 14 12:18:05 +0000 2018,"Remember the woman with frozen lashes that went viral? She's in the same spot, suffering heat and mosquitoes… https://t.co/IgbtCslNvZ",-0.4767,0.0,0.853,0.147,21
121,CBSnews,Sat Jul 14 12:15:10 +0000 2018,Black teen speaks out after woman is charged with attacking him at pool https://t.co/MQ3voduZzB https://t.co/XJWwlKgSiu,-0.5859,0.0,0.73,0.27,22
122,CBSnews,Sat Jul 14 12:03:04 +0000 2018,"Why so many families are renting, not buying, homes https://t.co/PsITuv2J1R https://t.co/qe6AbMtFaf",0.0,0.0,1.0,0.0,23
123,CBSnews,Sat Jul 14 11:48:04 +0000 2018,"Woman charged with attempted murder in beating of man, 92, with brick https://t.co/kXpkd9jRji https://t.co/a98gcqX85I",-0.8591,0.0,0.537,0.463,24
124,CBSnews,Sat Jul 14 11:46:05 +0000 2018,Trump in Scotland ahead of high-stakes summit with Putin https://t.co/QuZHt2m5x9 https://t.co/E0FIYQhdr9,0.0,0.0,1.0,0.0,25
125,CBSnews,Sat Jul 14 11:33:04 +0000 2018,"Woman harassed over Puerto Rican flag shirt says officer ""blatantly ignored"" her pleas for help… https://t.co/6RJydwNnHx",-0.7003,0.0,0.707,0.293,26
126,CBSnews,Sat Jul 14 11:18:03 +0000 2018,Inside the global race to develop hypersonic weapons https://t.co/cQuOCgJSW8 https://t.co/QYD06QVIpr,-0.4404,0.0,0.756,0.244,27
127,CBSnews,Sat Jul 14 11:03:04 +0000 2018,Locals residents and state officials battle over access to public California beach https://t.co/9kpJYpwSza https://t.co/jmPRGs6AAw,-0.3818,0.0,0.833,0.167,28
128,CBSnews,Sat Jul 14 10:54:00 +0000 2018,"RT @CBSThisMorning: Don’t miss the debut of our new @CBSThisMorning Saturday team! 

@CBSMMiller and @DanaJacobson join @AnthonyMasonCBS th…",0.2244,0.124,0.796,0.08,29
129,CBSnews,Sat Jul 14 10:48:03 +0000 2018,Giant hogweed sends Virginia teen to hospital burn unit https://t.co/7nAIoLGcbd https://t.co/R4SwpkC0S8,0.0,0.0,1.0,0.0,30
130,CBSnews,Sat Jul 14 10:33:04 +0000 2018,Former students surprise music teacher who changed their lives https://t.co/rGt2sH4z1L https://t.co/zp919ZfwGi,0.2732,0.174,0.826,0.0,31
131,CBSnews,Sat Jul 14 10:18:03 +0000 2018,"CDC warning on Kellogg's Honey Smacks: ""Do not eat this cereal"" https://t.co/ij8z0pVote https://t.co/igXuxQeUMc",-0.34,0.0,0.833,0.167,32
132,CBSnews,Sat Jul 14 10:03:04 +0000 2018,Why Russians indicted for hacking may never see the inside of a U.S. courtroom https://t.co/NWXanmdHDP https://t.co/SMye4tayMe,0.0,0.0,1.0,0.0,33
133,CBSnews,Sat Jul 14 09:48:03 +0000 2018,"Papa John's dumped by sports teams, schools over Schnatter comments https://t.co/4NHuPc0f5U https://t.co/Lgx08d3642",-0.4019,0.0,0.803,0.197,34
